2018-04-20 17:07:08.465  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : Starting MobileCenterInstrumentatorApplication on CABCUKDCQB with PID 8092 (C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator\target\classes started by pinzi in C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator)
2018-04-20 17:07:08.475  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : No active profile set, falling back to default profiles: default
2018-04-20 17:07:08.671  INFO 8092 --- [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@45b9a632: startup date [Fri Apr 20 17:07:08 CEST 2018]; root of context hierarchy
2018-04-20 17:10:16.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:16.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:18.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:18.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:20.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:20.597  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:22.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:22.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:24.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:24.597  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:26.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:26.604  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:28.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:28.621  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:30.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:30.676  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:32.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:32.646  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:34.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:34.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:36.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:36.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:38.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:38.605  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:40.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:40.656  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:42.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:42.662  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:44.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:44.892  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:46.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:46.822  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:48.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:48.629  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:50.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:50.647  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:52.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:52.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:54.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:54.608  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:56.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:56.604  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:58.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:58.601  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:00.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:00.625  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:02.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:02.631  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:04.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:04.672  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:06.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:06.599  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:08.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:08.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:10.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:10.604  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:12.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:12.638  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:14.498  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:14.632  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:16.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:16.641  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:18.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:18.625  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:20.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:20.642  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:22.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:22.625  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:24.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:24.634  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:26.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:26.627  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:28.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:28.789  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:30.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:30.658  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:32.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:32.634  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:34.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:34.670  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:36.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:36.662  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:38.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:38.614  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:40.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:40.637  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:42.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:42.599  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:44.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:44.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:46.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:46.652  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:48.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:48.648  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:50.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:50.700  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:52.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:52.607  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:54.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:54.607  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:56.499  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:56.600  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:11:58.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:11:58.627  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:00.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:00.621  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:02.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:02.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:04.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:04.592  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:06.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:06.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:08.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:08.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:10.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:10.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:12.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:12.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:14.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:14.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:16.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:16.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:18.500  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:18.590  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:20.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:20.592  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:22.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:22.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:24.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:24.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:26.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:26.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:28.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:29.049  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:30.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:30.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:32.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:32.706  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:34.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:34.592  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:36.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:36.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:38.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:38.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:40.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:40.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:42.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:42.607  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:44.501  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:44.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:46.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:46.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:48.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:48.623  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:50.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:50.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:52.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:52.612  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:54.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:54.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:56.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:56.630  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:12:58.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:12:58.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:00.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:00.602  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:02.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:02.613  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:04.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:04.603  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:06.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:06.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:08.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:08.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:10.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:10.611  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:12.502  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:12.611  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:14.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:14.592  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:16.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:16.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:18.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:18.606  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:20.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:20.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:22.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:22.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:24.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:24.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:26.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:26.706  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:28.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:28.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:30.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:30.600  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:32.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:32.607  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:34.503  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:34.652  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:36.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:36.677  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:38.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:38.690  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:40.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:40.656  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:42.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:42.603  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:44.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:44.622  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:46.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:46.626  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:48.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:48.636  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:50.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:50.624  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:52.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:52.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:54.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:54.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:56.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:56.635  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:13:58.504  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:13:58.620  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:00.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:00.623  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:02.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:02.602  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:04.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:04.600  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:06.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:06.615  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:08.505  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:08.624  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:10.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:10.605  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:12.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:12.601  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:14.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:14.599  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:16.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:16.597  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:18.507  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:18.601  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:20.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:14:20.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:14:22.506  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
